number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    270                  46                   0.0                  100                  270.0                46.0                
10                   0                    0                    334                  59                   0.0                  100                  334.0                59.0                
10                   0                    0                    168                  41                   0.0                  100                  168.0                41.0                
10                   0                    0                    290                  43                   0.0                  100                  290.0                43.0                
10                   0                    0                    364                  62                   0.0                  100                  364.0                62.0                
10                   0                    0                    324                  64                   0.0                  100                  324.0                64.0                
10                   0                    0                    333                  52                   0.0                  100                  333.0                52.0                
10                   0                    0                    288                  62                   0.0                  100                  268.0                62.0                
10                   0                    0                    288                  53                   0.0                  100                  288.0                53.0                
10                   0                    0                    331                  62                   0.0                  100                  331.0                62.0                
10                   0                    0                    224                  47                   0.0                  100                  224.0                47.0                
10                   0                    0                    400                  63                   0.0                  100                  400.0                63.0                
10                   0                    0                    335                  50                   0.0                  100                  335.0                50.0                
10                   0                    0                    196                  42                   0.0                  100                  196.0                42.0                
10                   0                    0                    268                  53                   0.0                  100                  268.0                53.0                
10                   0                    0                    178                  36                   0.0                  100                  178.0                36.0                
10                   0                    0                    293                  49                   0.0                  100                  293.0                49.0                
10                   0                    0                    246                  36                   0.0                  100                  229.0                36.0                
10                   0                    0                    397                  51                   0.0                  100                  397.0                51.0                
10                   0                    0                    204                  33                   0.0                  100                  204.0                33.0                
10                   0                    0                    228                  46                   0.0                  100                  228.0                46.0                
10                   0                    0                    250                  61                   0.0                  100                  250.0                61.0                
10                   0                    0                    437                  59                   0.0                  100                  437.0                59.0                
10                   0                    0                    441                  69                   0.0                  100                  440.0                69.0                
10                   0                    0                    460                  66                   0.0                  100                  460.0                66.0                
10                   0                    0                    392                  54                   0.0                  100                  364.0                54.0                
10                   0                    0                    226                  54                   0.0                  100                  226.0                54.0                
10                   0                    0                    328                  53                   0.0                  100                  328.0                53.0                
10                   0                    0                    263                  44                   0.0                  100                  263.0                44.0                
10                   0                    0                    215                  43                   0.0                  100                  206.0                43.0                
10                   0                    0                    394                  60                   0.0                  100                  394.0                60.0                
10                   0                    0                    294                  50                   0.0                  100                  294.0                50.0                
10                   0                    0                    300                  75                   0.0                  100                  300.0                75.0                
10                   0                    0                    318                  61                   0.0                  100                  311.0                61.0                
10                   0                    0                    203                  37                   0.0                  100                  203.0                37.0                
10                   0                    0                    259                  53                   0.0                  100                  259.0                53.0                
10                   0                    0                    218                  37                   0.0                  100                  218.0                37.0                
10                   0                    0                    256                  64                   0.0                  100                  256.0                64.0                
10                   0                    0                    318                  39                   0.0                  100                  318.0                39.0                
10                   0                    0                    344                  69                   0.0                  100                  344.0                69.0                
10                   0                    0                    183                  43                   0.0                  100                  183.0                43.0                
10                   0                    0                    219                  48                   0.0                  100                  219.0                48.0                
10                   0                    0                    271                  44                   0.0                  100                  271.0                44.0                
10                   0                    0                    533                  76                   0.0                  100                  532.0                75.0                
10                   0                    0                    158                  41                   0.0                  100                  158.0                41.0                
10                   0                    0                    224                  51                   0.0                  100                  222.0                51.0                
10                   0                    0                    273                  51                   0.0                  100                  273.0                51.0                
10                   0                    0                    243                  63                   0.0                  100                  243.0                63.0                
10                   0                    0                    303                  60                   0.0                  100                  303.0                60.0                
10                   0                    0                    237                  34                   0.0                  100                  237.0                34.0                
10                   0                    0                    201                  51                   0.0                  100                  200.0                51.0                
10                   0                    0                    275                  51                   0.0                  100                  275.0                51.0                
10                   0                    0                    171                  39                   0.0                  100                  171.0                39.0                
10                   0                    0                    436                  68                   0.0                  100                  394.0                68.0                
10                   0                    0                    439                  56                   0.0                  100                  439.0                56.0                
10                   0                    0                    402                  61                   0.0                  100                  402.0                61.0                
10                   0                    0                    413                  80                   0.0                  100                  413.0                80.0                
10                   0                    0                    359                  64                   0.0                  100                  358.0                64.0                
10                   0                    0                    235                  36                   0.0                  100                  235.0                36.0                
10                   0                    0                    181                  37                   0.0                  100                  181.0                37.0                
10                   0                    0                    300                  54                   0.0                  100                  300.0                54.0                
10                   0                    0                    333                  59                   0.0                  100                  333.0                59.0                
10                   0                    0                    225                  45                   0.0                  100                  225.0                45.0                
